Game Date,Game Start Date,Game Type,Grade,Round,Game Status,Venue,Playing Surface,Time,Toss Winner,Elected To,Home Team,Home Team Organisation Name,Home Team Score,Home Team Over Limit,Home Team Result,Home Team Players In Lineup,Home Team Player Points,Away Team,Away Team Organisation Name,Away Team Score,Away Team Over Limit,Away Team Result,Away Team Players In Lineup,Away Team Player Points,Bye,Host Organisation,Competition,Competition Type,Season,Game Alias,Game Code,Game Id,Result Source,Result Timestamp,Last Updated At,Last Updated By,Last Updated By Organisation
24/01/2026,2026-01-24,One Day,"C Grade (70 Overs, 12 Players)",Round 9,Abandoned,Eley Park,Eley Park,13:00,,,Laburnum - 3rd XI,Laburnum Cricket Club,,35,Abandoned,12,,Burwood District - 2nd XI,Burwood District Cricket Club,,35,Abandoned,11,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,cb2656,cb26567c-f3ef-4466-a8c4-d570c7c45db5,Manual,24/01/2026 22:12 (Australia/Melbourne),2026-01-24T22:37:00+11:00[Australia/Melbourne],Narayanan Ramakrishnan,Burwood District Cricket Club
24/01/2026,2026-01-24,One Day,"A Grade (80 Overs, 12 Players)",Round 10,Abandoned,Kalang Park,Kalang Park,13:00,,,Laburnum - 2nd XI,Laburnum Cricket Club,,40,Abandoned,12,,Bulleen Templestowe - 2nd XI,Bulleen Templestowe Cricket Club,,40,Abandoned,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,04619f,04619f0d-e5ce-44c3-a085-d94ea298a91c,Manual,24/01/2026 18:43 (Australia/Melbourne),2026-01-24T18:43:00+11:00[Australia/Melbourne],Matthew Leggio,Bulleen Templestowe Cricket Club
27/01/2026,2026-01-27,T20,T20 B - Greg Chappell Cricket Shield,Round 5,Abandoned,Kalang Park,Kalang Park,17:15,,,Laburnum T20 1st XI,Laburnum Cricket Club,,20,Abandoned,12,,Bulleen Templestowe T20 1st XI,Bulleen Templestowe Cricket Club,,20,Abandoned,12,,,Box Hill Reporter District Cricket Association,BHRDCA T20 Competition,Home and away,Summer 2025/26,,a70a9d,a70a9d23-60ec-4ab3-954b-66d20f0290a4,Manual,28/01/2026 12:02 (Australia/Melbourne),2026-01-28T12:02:00+11:00[Australia/Melbourne],Aryan Meghani,Box Hill Reporter District Cricket Association
31/01/2026,2026-01-31,One Day,3. Compare & Conect Dorothy McIntosh Shield,Round 12,Final,Kalang Park,Kalang Park,13:00,East Burwood - 1st XI,Bat,Laburnum - 1st XI,Laburnum Cricket Club,6/217 (37.5),40,Won,11,12,East Burwood - 1st XI,East Burwood Cricket Club,7/213 (40),40,Lost,11,14,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,29f461,29f461bb-02fd-44cd-8d44-b22b789e47a0,E-scoring,31/01/2026 19:11 (Australia/Melbourne),2026-01-31T19:12:00+11:00[Australia/Melbourne],,
03/02/2026,2026-02-03,T20,T20 B - Greg Chappell Cricket Shield,Semi Finals,Final,Kalang Park,Kalang Park,17:15,Doncaster T20 X1,Bat,Laburnum T20 1st XI,Laburnum Cricket Club,2/172 (16.5),20,Won,12,,Doncaster T20 X1,Doncaster Cricket Club (VIC),10/166 (19.5),20,Lost,12,,,Box Hill Reporter District Cricket Association,BHRDCA T20 Competition,Home and away,Summer 2025/26,Semi Final 1,932620,932620de-db9e-4ae5-a6dc-901fde82283d,E-scoring,03/02/2026 19:46 (Australia/Melbourne),2026-02-04T18:23:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
"07/02/2026, 14/02/2026",2026-02-07,Two Day,"A Grade (80 Overs, 12 Players)",Round 12,Final,Kalang Park,Kalang Park,13:00,Koonung Heights - 2nd XI,Bat,Laburnum - 2nd XI,Laburnum Cricket Club,3/191 (60),,Won on first innings,12,,Koonung Heights - 2nd XI,Koonung Heights Cricket Club,10/189 (64.4),,Lost on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,b533d7,b533d714-0515-49c9-9f11-fb89da43affd,Manual,09/03/2026 17:13 (Australia/Melbourne),2026-03-09T17:13:00+11:00[Australia/Melbourne],Michael Whitehead,Box Hill Reporter District Cricket Association
"07/02/2026, 14/02/2026",2026-02-07,Two Day,"H Grade (Split Innings - 64 Overs, 13 Players)",Round 10,Final,Mirrabooka Reserve,Mirrabooka Reserve #3 - North,13:00,St. Davids - 4th XI,Bat,Laburnum - 4th XI,Laburnum Cricket Club,"10/141 (37), 10/96 (33.1)",,Lost outright lost first innings,13,,St. Davids - 4th XI,St Davids Cricket Club,"1-d/185 (32), 1/54 (9)",,Won outright won first innings,13,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,d6df0b,d6df0b28-5d4b-43fb-967e-b3900d72f447,Manual,17/02/2026 14:46 (Australia/Melbourne),2026-02-17T14:46:00+11:00[Australia/Melbourne],Aryan Meghani,Box Hill Reporter District Cricket Association
"07/02/2026, 14/02/2026",2026-02-07,Two Day,"I Grade (Split Innings - 64 Overs, 13 Players)",Round 10,Final,Freeway Reserve,South Oval,13:00,Laburnum - 5th XI,Bat,Laburnum - 5th XI,Laburnum Cricket Club,"10/118 (46.4), 0/0",,Lost on first innings,13,,Notting Hill Brandon Park - 5th XI,Notting Hill Brandon Park Cricket Club,10/156 (61.4),,Won on first innings,13,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,8c9ff0,8c9ff0e4-175d-44c9-8864-60ec3816a47e,Manual,14/02/2026 18:53 (Australia/Melbourne),2026-02-14T18:53:00+11:00[Australia/Melbourne],Neil Kloot,Laburnum Cricket Club
10/02/2026,2026-02-10,T20,T20 B - Greg Chappell Cricket Shield,Grand Final,Final,Kalang Park,Kalang Park,17:15,Bulleen Templestowe T20 1st XI,Bat,Laburnum T20 1st XI,Laburnum Cricket Club,7/191 (20),20,Lost,12,,Bulleen Templestowe T20 1st XI,Bulleen Templestowe Cricket Club,5/194 (20),20,Won,12,,,Box Hill Reporter District Cricket Association,BHRDCA T20 Competition,Home and away,Summer 2025/26,Grand Final,a90e9c,a90e9c2c-ee54-4574-942e-a69db7362621,E-scoring,10/02/2026 19:52 (Australia/Melbourne),2026-02-10T19:52:00+11:00[Australia/Melbourne],,
"21/02/2026, 28/02/2026",2026-02-21,Two Day,"A Grade (80 Overs, 12 Players)",Round 13,Final,Kalang Park,Kalang Park,13:00,Box Hill North Super Kings - 3rd XI,Bowl,Laburnum - 2nd XI,Laburnum Cricket Club,"10/256 (77.5), 0/0",,Lost on first innings,12,,Box Hill North Super Kings - 3rd XI,Box Hill North Super Kings Cricket Club,8-d/281 (69.2),,Won on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,a06207,a062073d-d206-4099-8d4a-41da323ef2fb,Manual,02/03/2026 15:47 (Australia/Melbourne),2026-03-02T15:47:00+11:00[Australia/Melbourne],Omkar Vechlekar,Box Hill North Super Kings Cricket Club
"21/02/2026, 28/02/2026",2026-02-21,Two Day,"C Grade (70 Overs, 12 Players)",Round 12,Final,Mirrabooka Reserve,Mirrabooka Reserve #3 - North,13:00,East Burwood - 2nd XI,Bat,Laburnum - 3rd XI,Laburnum Cricket Club,10/268 (69.3),,Lost on first innings,12,,East Burwood - 2nd XI,East Burwood Cricket Club,10/304 (69.5),,Won on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,f19402,f1940230-8524-4d10-812e-62b5444466f3,Manual,01/03/2026 11:55 (Australia/Melbourne),2026-03-01T11:55:00+11:00[Australia/Melbourne],Neil Davey,East Burwood Cricket Club
"21/02/2026, 28/02/2026",2026-02-21,Two Day,"I Grade (Split Innings - 64 Overs, 13 Players)",Round 11,Final,Trinity Grammar Playing Fields,Hughes. No 2,13:00,Laburnum - 5th XI,Bat,Laburnum - 5th XI,Laburnum Cricket Club,10/181 (58.3),,Lost on first innings,13,,Doncaster - 5th XI,Doncaster Cricket Club (VIC),6/268 (64),,Won on first innings,13,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,fc3aba,fc3aba93-55e6-4cc4-905f-765a327a2587,Manual,01/03/2026 08:58 (Australia/Melbourne),2026-03-01T08:58:00+11:00[Australia/Melbourne],Neil Kloot,Laburnum Cricket Club
